ax,ay,az,gx,gy,gz
-0.342, -0.087, 0.838, 5.920, 0.549, 0.488
-0.335, -0.073, 0.868, 6.897, -1.770, 0.244
-0.334, -0.105, 0.920, 7.080, -3.235, -0.732
-0.339, -0.153, 0.946, 7.080, -3.479, -1.404
-0.333, -0.183, 0.944, 5.981, -3.357, -0.793
-0.327, -0.166, 0.943, 4.578, -3.174, 0.854
-0.325, -0.139, 0.976, 3.723, -3.357, 2.136
-0.321, -0.108, 0.995, 3.235, -2.991, 2.930
-0.328, -0.104, 1.000, 3.479, -2.380, 2.869
-0.326, -0.053, 1.010, 4.333, -1.770, 3.296
-0.319, -0.012, 0.986, 4.272, -0.488, 3.052
-0.319, -0.003, 0.950, 3.418, 0.610, 1.221
-0.314, -0.038, 0.937, 1.587, 1.282, -0.732

-0.076, -1.782, -1.625, 24.780, -45.654, 10.864
-0.143, -2.157, -2.159, 30.396, -68.726, 26.428
-0.276, -2.345, -2.543, 27.161, -100.525, 50.598
-0.467, -2.264, -2.567, 10.437, -138.977, 81.726
-0.711, -1.946, -2.312, -16.174, -179.504, 114.502
-0.961, -1.158, -1.646, -44.495, -218.872, 148.560
-1.171, 0.054, -0.576, -54.382, -253.845, 178.894
-1.287, 1.241, 0.632, -61.584, -277.588, 190.674
-1.299, 2.142, 1.898, -63.782, -287.720, 183.960
-1.218, 2.927, 3.168, -55.481, -285.522, 168.579
-1.113, 3.561, 4.000, -42.969, -270.935, 146.973
-0.945, 4.000, 4.000, -36.133, -244.507, 121.338
-0.805, 4.000, 4.000, -30.884, -205.811, 90.759
-0.611, 4.000, 4.000, -22.644, -155.762, 50.720
-0.519, 4.000, 4.000, -17.090, -98.938, 4.150
-0.513, 4.000, 4.000, -7.874, -41.077, -46.814
-0.597, 4.000, 4.000, 7.385, 14.282, -94.849
-0.737, 3.978, 4.000, 23.132, 69.214, -132.812
-0.944, 3.509, 4.000, 32.104, 121.643, -159.058
-1.227, 3.289, 4.000, 35.461, 168.762, -177.307
-1.573, 3.180, 4.000, 36.133, 211.243, -194.885
-1.936, 3.020, 3.874, 36.011, 248.596, -215.759
-2.312, 2.787, 3.093, 31.067, 280.518, -239.197
-2.667, 2.410, 2.231, 18.677, 307.129, -263.672
-2.948, 1.917, 1.426, 4.211, 325.684, -288.086
-3.197, 1.313, 0.660, -7.385, 335.571, -310.852
-3.369, 0.726, 0.006, -12.390, 337.585, -328.308
-3.516, 0.225, -0.640, -5.737, 333.923, -340.576
-3.539, -0.322, -1.398, 3.906, 326.233, -350.403
-3.445, -0.961, -2.190, -0.854, 312.927, -358.154
-3.348, -1.892, -2.798, -13.672, 289.368, -363.953
-3.179, -2.827, -3.023, -12.817, 256.592, -358.887
-2.961, -3.513, -3.256, 3.418, 221.680, -336.670
-2.609, -3.994, -3.783, 18.860, 187.927, -304.871
-2.253, -4.000, -4.000, 14.404, 148.682, -273.193
-1.929, -4.000, -4.000, -2.686, 101.440, -231.445
-1.619, -4.000, -4.000, -19.714, 48.096, -173.096
