ax,ay,az,gx,gy,gz
-0.329, -1.142, 1.472, -1.892, -6.714, -16.602
-0.266, -0.921, 1.315, 4.456, -6.165, -11.902
-0.197, -0.750, 1.257, 8.789, -7.507, -9.460
-0.165, -0.703, 1.329, 11.963, -9.521, -9.338
-0.156, -0.737, 1.439, 12.085, -9.827, -9.094
-0.116, -0.672, 1.472, 4.822, -6.348, -5.981
-0.100, -0.640, 1.384, -4.456, -1.160, -3.052
-0.076, -0.641, 1.254, -11.230, 3.174, -1.282
-0.061, -0.603, 1.138, -12.329, 5.310, 2.991
-0.040, -0.505, 1.025, -10.071, 6.042, 8.667
-0.037, -0.381, 0.953, -7.080, 5.432, 13.489
-0.028, -0.224, 0.891, -3.113, 3.479, 17.334
-0.028, 0.001, 0.881, -0.122, 0.793, 19.348

-0.499, -0.209, 2.358, -31.128, 11.169, 49.133
-0.517, -0.231, 2.482, -26.367, 20.081, 53.955
-0.537, -0.145, 2.582, -25.696, 30.701, 60.730
-0.570, -0.034, 2.698, -29.236, 42.969, 66.895
-0.622, 0.115, 2.779, -36.011, 56.885, 71.533
-0.651, 0.312, 2.800, -44.983, 72.632, 74.646
-0.691, 0.535, 2.834, -54.871, 88.440, 75.806
-0.738, 0.687, 2.907, -64.209, 104.492, 73.303
-0.803, 0.769, 3.001, -71.960, 121.094, 68.420
-0.884, 0.793, 3.073, -77.576, 139.587, 63.232
-0.970, 1.003, 3.077, -84.229, 159.973, 60.181
-1.072, 1.168, 2.969, -85.083, 181.763, 54.199
-1.144, 1.314, 2.732, -83.984, 203.491, 45.349
-1.227, 1.463, 2.394, -81.238, 222.595, 34.790
-1.288, 1.731, 2.050, -77.576, 237.427, 23.804
-1.347, 2.024, 1.789, -67.566, 246.765, 9.644
-1.437, 2.070, 1.665, -43.945, 252.563, -9.827
-1.468, 2.087, 1.468, -22.705, 259.277, -31.067
-1.523, 1.858, 1.287, -8.789, 265.564, -53.406
-1.589, 1.787, 1.153, -8.850, 271.118, -70.679
