ax,ay,az,gx,gy,gz
0.083, -0.103, 1.023, 4.761, -1.526, 13.855
0.079, -0.008, 1.032, 1.892, -1.404, 13.367
0.082, 0.034, 1.001, -0.305, -0.549, 10.559
0.083, 0.011, 0.970, -0.793, -0.122, 6.714
0.084, -0.091, 0.940, -0.488, -0.122, 2.686
0.080, -0.183, 0.909, -0.244, -0.183, 1.099
0.084, -0.200, 0.892, -0.427, -1.160, 1.526
0.083, -0.210, 0.901, -1.282, -2.319, 2.380
0.078, -0.189, 0.930, -0.732, -3.235, 3.235
0.077, -0.168, 0.957, 0.610, -4.089, 3.723
0.076, -0.138, 0.989, 2.380, -4.333, 3.906
0.078, -0.136, 1.006, 4.150, -3.845, 3.296

-1.010, -0.689, 2.005, -50.293, -184.387, 61.218
-1.114, -0.881, 2.606, -60.913, -180.969, 70.862
-1.188, -0.816, 3.273, -56.091, -170.166, 93.628
-1.269, -0.715, 3.626, 4.578, -151.062, 116.333
-1.229, -0.564, 3.928, 57.129, -130.066, 135.010
-1.165, -0.308, 4.000, 52.856, -103.638, 142.761
-1.043, -0.021, 4.000, 30.945, -62.866, 148.743
-1.082, 0.274, 4.000, 25.513, -3.906, 149.536
-1.202, 0.496, 4.000, 43.640, 68.115, 147.827
-1.350, 0.894, 4.000, 65.735, 146.851, 144.897
-1.541, 1.342, 4.000, 78.857, 226.013, 136.353
-1.770, 1.623, 4.000, 79.895, 297.424, 119.690
-2.032, 1.833, 4.000, 73.242, 357.544, 96.863
-2.432, 1.844, 3.994, 69.336, 411.072, 69.641
-2.861, 1.675, 3.614, 67.139, 459.595, 41.138
-3.296, 1.362, 3.150, 67.444, 504.150, 15.320
-3.709, 1.011, 2.594, 69.519, 545.105, -3.845
-4.000, 0.644, 1.913, 63.110, 581.665, -16.846
-4.000, 0.113, 0.797, 30.884, 612.122, -28.931
-4.000, -0.178, -0.075, -11.719, 628.296, -36.011
-4.000, -0.499, -0.678, -41.260, 627.686, -40.833
-4.000, -0.453, -1.088, -121.948, 619.629, -49.622
-4.000, -0.920, -2.145, -121.277, 605.774, -69.214
-3.700, -1.542, -2.535, 19.470, 571.167, -75.317
-3.362, -2.059, -2.954, 61.340, 536.621, -58.411
-2.868, -2.277, -3.623, 98.755, 500.427, -32.715
-2.339, -2.056, -4.000, 128.540, 457.764, -1.465
-1.713, -2.482, -4.000, 239.258, 403.076, 30.090
-1.174, -1.756, -4.000, 324.158, 323.730, 80.505
-0.670, -1.020, -4.000, 312.073, 232.727, 118.469
-0.256, -0.113, -4.000, 219.238, 119.507, 134.094
-0.207, 0.153, -4.000, 159.912, -2.441, 118.225
-0.567, -0.115, -4.000, 154.846, -128.296, 95.886
-1.103, -0.582, -4.000, 154.785, -240.234, 75.989
-1.637, -1.141, -4.000, 149.048, -328.430, 65.918
-2.270, -1.535, -3.937, 165.710, -399.170, 67.993
-3.065, -1.799, -3.434, 180.969, -466.431, 75.928
-3.892, -1.904, -2.710, 184.387, -531.433, 87.524
-4.000, -2.101, -1.676, 170.837, -593.018, 98.511
-4.000, -2.370, -0.075, 120.178, -646.179, 113.159
-4.000, -2.246, 1.953, 51.025, -682.739, 144.958
-4.000, -1.174, 3.623, 71.045, -695.740, 192.932
-4.000, -0.186, 4.000, 31.616, -683.289, 219.727
-4.000, 0.790, 4.000, -22.644, -612.305, 235.352
-3.660, 1.910, 4.000, 83.618, -524.109, 241.150
-2.810, 3.101, 4.000, 184.814, -434.814, 216.736
-2.275, 3.854, 4.000, 140.015, -342.163, 158.020
-1.747, 3.903, 4.000, 142.456, -263.611, 90.576
-1.441, 3.235, 4.000, 157.654, -204.224, 19.470
-1.129, 2.104, 2.832, 145.874, -160.461, -39.612
-1.056, 1.425, 3.205, 131.104, -140.869, -76.599
-0.899, 0.892, 3.709, 120.056, -132.874, -94.666
-0.785, 0.616, 4.000, 58.716, -107.788, -104.675
-0.736, 0.919, 4.000, 12.085, -70.679, -104.675
-0.751, 1.432, 4.000, 17.273, -15.564, -107.483
-0.850, 2.320, 4.000, 46.204, 46.509, -118.103
-1.107, 3.001, 4.000, 63.782, 110.291, -147.095
-1.500, 3.263, 4.000, 60.852, 170.227, -194.214
-2.016, 3.478, 3.714, 45.288, 224.182, -245.422
-2.633, 3.640, 3.001, 25.513, 268.494, -299.377
-3.295, 3.311, 2.227, -3.479, 303.040, -363.403
-3.912, 2.457, 1.510, -43.640, 325.134, -430.847
-4.000, 1.286, 1.009, -93.140, 333.679, -490.295
-4.000, 0.057, 0.510, -175.232, 330.017, -537.354
-4.000, -1.448, -0.356, -212.524, 313.354, -569.336
-4.000, -2.872, -0.669, -177.490, 280.579, -575.012
-3.674, -4.000, -1.265, -177.795, 244.019, -552.246
-2.943, -4.000, -1.256, -175.049, 199.524, -509.827
-2.069, -4.000, -1.125, -169.373, 152.161, -447.937
-1.356, -4.000, -0.946, -158.813, 110.596, -372.070
-0.728, -4.000, -0.542, -140.137, 71.777, -285.950
-0.318, -4.000, -0.062, -112.854, 41.199, -200.562
-0.087, -4.000, 0.298, -66.467, 21.057, -123.352
0.016, -3.983, 0.461, -11.047, 9.766, -59.204
0.035, -3.163, 0.512, 36.316, 2.686, -8.423
0.024, -2.294, 0.525, 64.026, -2.930, 28.137
0.025, -1.486, 0.513, 71.350, -8.484, 51.941
0.009, -0.811, 0.494, 63.232, -13.428, 62.561
0.012, -0.203, 0.461, 46.448, -19.226, 63.782
0.028, 0.237, 0.522, 25.574, -25.696, 55.542
0.046, 0.433, 0.678, 6.714, -32.349, 39.856
0.064, 0.374, 0.813, -5.981, -36.560, 21.057
0.080, 0.094, 0.967, -9.399, -38.879, 4.211
0.087, -0.244, 1.081, -10.071, -39.246, -6.287
0.099, -0.558, 1.220, -6.165, -38.208, -9.033
0.103, -0.783, 1.343, -0.427, -35.461, -5.554
0.080, -0.879, 1.430, 5.920, -30.884, 2.563
0.062, -0.791, 1.437, 13.367, -25.269, 14.221
0.042, -0.565, 1.340, 19.287, -18.982, 25.513
0.032, -0.293, 1.227, 22.583, -14.160, 32.654
0.019, -0.086, 1.133, 20.752, -11.414, 34.180
0.027, 0.151, 1.097, 13.977, -10.254, 32.471
0.035, 0.343, 1.090, 5.737, -9.705, 27.466
0.043, 0.427, 1.111, -1.526, -9.094, 17.944
0.043, 0.330, 1.112, -5.554, -8.423, 6.104
0.041, 0.148, 1.108, -5.859, -7.080, -3.540
0.039, -0.049, 1.100, -3.357, -5.859, -10.010
0.032, -0.239, 1.086, -0.122, -4.822, -13.000
0.025, -0.429, 1.083, 2.319, -4.028, -13.000
-0.002, -0.571, 1.085, 3.479, -3.418, -9.827
-0.018, -0.574, 1.110, 3.052, -2.686, -3.601
-0.030, -0.454, 1.135, 1.465, -1.587, 3.235
-0.034, -0.316, 1.093, 1.709, 0.366, 7.751
-0.029, -0.205, 1.010, 2.808, 2.319, 9.399
-0.028, -0.195, 0.949, 4.333, 2.686, 8.057
-0.024, -0.218, 0.935, 4.944, 1.648, 6.287
-0.022, -0.241, 0.948, 3.174, 0.366, 6.042
-0.023, -0.213, 0.957, 0.977, -0.427, 6.775
-0.013, -0.139, 0.942, 1.099, -0.366, 7.629
-0.008, -0.082, 0.915, 1.587, -1.099, 6.836
-0.008, -0.079, 0.926, 1.709, -1.953, 4.578
-0.011, -0.109, 0.952, 1.404, -2.686, 2.136
-0.014, -0.125, 0.971, 0.061, -2.869, 0.610
-0.008, -0.126, 0.976, -1.831, -2.808, -0.549
-0.006, -0.153, 0.959, -3.845, -2.197, -1.709
-0.010, -0.201, 0.933, -5.615, -2.075, -2.625
-0.009, -0.268, 0.912, -6.165, -2.380, -2.930
-0.008, -0.285, 0.935, -6.287, -3.296, -2.136
-0.010, -0.245, 1.002, -5.371, -4.333, -0.549

-0.461, 0.203, 2.647, -5.066, -59.387, 27.588
-0.559, 0.322, 3.005, -11.902, -47.302, 24.841
-0.585, 0.554, 3.422, -9.644, -30.029, 21.851
-0.620, 0.789, 3.797, -6.531, -6.836, 14.099
-0.662, 0.891, 4.000, 0.122, 22.217, 0.854
-0.716, 0.857, 4.000, 5.981, 57.861, -16.174
-0.824, 0.521, 4.000, 2.136, 101.807, -37.476
-0.988, 0.042, 4.000, 2.808, 150.757, -53.711
-1.212, -0.400, 4.000, 1.343, 207.214, -60.669
-1.426, -0.572, 4.000, 5.554, 265.930, -56.641
-1.674, -0.519, 3.999, 9.827, 321.289, -47.913
-1.932, -0.364, 3.486, 11.597, 367.249, -40.833
-2.181, -0.285, 3.003, 16.418, 404.541, -38.513
-2.435, -0.223, 2.612, 21.362, 436.584, -38.147
-2.672, -0.242, 2.209, 23.499, 464.905, -38.696
-2.889, -0.349, 1.773, 19.653, 490.051, -40.283
-3.066, -0.509, 1.276, 8.850, 511.169, -41.138
-3.201, -0.579, 0.847, -20.447, 528.564, -41.077
-3.291, -0.514, 0.171, -60.852, 542.480, -43.396
-3.331, -0.630, -0.959, -62.439, 548.401, -51.147
-3.099, -0.908, -1.621, 13.550, 535.095, -55.237
-2.817, -1.031, -2.410, 37.415, 512.695, -47.974
-2.437, -0.471, -2.725, 30.212, 484.985, -41.870
-2.278, -0.983, -3.402, 41.626, 452.820, -54.443
-1.906, -1.343, -3.886, 207.520, 404.236, -48.340
-1.379, -1.167, -4.000, 245.361, 350.952, -25.269
-0.825, -1.579, -4.000, 268.738, 292.114, -16.663
-0.338, -1.770, -4.000, 324.219, 208.557, -3.784
-0.152, -2.076, -4.000, 299.683, 114.258, 11.597
-0.158, -2.381, -4.000, 268.860, 10.498, 26.550
-0.435, -2.630, -4.000, 263.062, -92.102, 43.701
-0.767, -2.684, -4.000, 257.141, -182.068, 66.895
-1.141, -2.664, -3.681, 260.925, -254.517, 90.637
-1.586, -2.663, -3.014, 277.771, -313.477, 113.892
-2.018, -2.431, -2.726, 279.602, -363.647, 136.658
-2.564, -2.271, -2.538, 270.203, -412.598, 153.992
-3.208, -2.183, -2.226, 251.587, -463.806, 166.321
-3.887, -2.230, -1.592, 215.881, -515.503, 178.528
-4.000, -2.342, -0.610, 164.795, -563.354, 194.214
-4.000, -2.510, 0.698, 95.032, -600.647, 217.468
-4.000, -2.560, 2.198, 49.316, -621.582, 253.967
-4.000, -1.693, 3.441, 30.090, -621.094, 308.472
-4.000, -0.094, 3.472, 65.430, -602.417, 361.389
-4.000, 2.101, 4.000, 101.135, -589.478, 379.028
-3.998, 3.475, 4.000, 3.357, -516.113, 343.750
-2.838, 4.000, 4.000, 107.666, -432.678, 303.040
-2.154, 4.000, 4.000, 125.854, -342.468, 218.445
-1.574, 4.000, 4.000, 110.107, -252.930, 126.526
-1.120, 3.910, 4.000, 109.680, -176.147, 41.077
-0.873, 2.594, 4.000, 118.896, -111.023, -24.719
-0.695, 1.797, 3.457, 124.756, -67.627, -60.974
-0.510, 1.359, 3.217, 125.427, -43.457, -80.078
-0.473, 0.921, 3.541, 91.492, -27.100, -94.849
-0.520, 1.012, 4.000, 45.105, -6.531, -99.792
-0.617, 1.638, 4.000, 18.433, 31.433, -100.037
-0.785, 2.467, 4.000, 19.653, 84.778, -111.877
-1.033, 3.217, 3.997, 28.076, 140.808, -140.137
-1.396, 3.642, 3.306, 28.931, 188.904, -184.875
-1.852, 3.877, 2.611, 16.174, 225.342, -238.464
-2.349, 3.961, 1.986, -13.794, 249.939, -296.997
-2.931, 3.652, 1.451, -61.768, 264.221, -363.464
-3.456, 2.826, 1.012, -116.760, 267.090, -433.350
-3.902, 1.934, 0.740, -161.377, 259.949, -492.981
-4.000, 1.146, 0.594, -198.547, 244.446, -537.537
-4.000, 0.289, 0.555, -226.074, 221.924, -572.388
-4.000, -0.761, 0.663, -267.395, 194.641, -597.900
-4.000, -1.857, 0.876, -307.678, 164.917, -610.352
-3.973, -3.063, 1.154, -319.824, 135.254, -604.309
-3.428, -4.000, 1.433, -304.321, 110.413, -577.515
-2.741, -4.000, 1.574, -266.846, 93.750, -531.311
-2.017, -4.000, 1.561, -219.360, 85.449, -468.262
-1.395, -4.000, 1.318, -173.889, 82.825, -390.015
-0.931, -4.000, 0.843, -130.798, 81.970, -300.110
-0.569, -4.000, 0.235, -85.083, 77.026, -209.412
-0.320, -4.000, -0.326, -35.461, 64.331, -133.362
-0.179, -3.448, -0.656, 10.010, 42.480, -77.576
-0.081, -2.676, -0.673, 35.095, 15.503, -38.330
-0.036, -1.921, -0.449, 36.804, -11.658, -10.376
-0.010, -1.238, 0.073, 24.902, -36.316, 6.409
0.013, -0.761, 0.690, 10.376, -53.040, 12.512
0.041, -0.581, 1.213, 2.319, -59.753, 10.010
0.085, -0.594, 1.543, 0.854, -56.763, 5.920
0.129, -0.657, 1.682, -0.427, -47.913, 3.906
0.168, -0.647, 1.698, -4.395, -36.926, 6.042
0.201, -0.654, 1.615, -5.981, -25.757, 8.667
0.220, -0.634, 1.444, -3.967, -15.869, 12.756
0.235, -0.545, 1.230, 0.061, -8.911, 18.433
0.238, -0.407, 1.016, 2.075, -5.737, 23.499
0.246, -0.074, 0.888, 1.526, -6.287, 28.931
0.254, 0.259, 0.870, -2.625, -9.277, 29.724
0.257, 0.447, 0.907, -4.333, -12.512, 23.254
0.248, 0.422, 0.920, -1.465, -15.076, 12.268
0.241, 0.276, 0.927, 2.075, -17.029, 1.770
0.229, 0.180, 1.021, 1.221, -19.287, -4.272
0.218, 0.085, 1.164, -0.122, -20.752, -9.033
0.205, -0.122, 1.285, -1.587, -19.470, -13.916
0.199, -0.344, 1.272, 0.427, -15.869, -15.808
0.192, -0.549, 1.230, 5.615, -12.085, -13.733
0.167, -0.709, 1.172, 8.057, -9.277, -8.484
0.131, -0.571, 1.115, 5.066, -7.629, 1.221
0.137, -0.016, 1.089, -2.014, -6.226, 12.634
0.135, 0.367, 1.035, -4.639, -5.188, 11.963
0.126, 0.366, 0.979, -3.784, -4.578, 0.671
0.127, 0.068, 0.935, -0.183, -5.127, -11.536
0.135, -0.311, 0.911, 1.526, -6.531, -18.311
0.138, -0.597, 0.919, 0.061, -7.690, -16.846
0.131, -0.710, 0.923, -3.784, -8.606, -9.094
0.116, -0.619, 0.924, -4.944, -9.399, 1.038
0.107, -0.412, 0.914, -1.770, -10.315, 10.071
0.098, -0.279, 0.911, 4.028, -11.353, 14.282
0.095, -0.255, 0.915, 9.583, -12.634, 14.954
0.089, -0.276, 0.933, 12.451, -13.916, 15.320
0.085, -0.196, 0.974, 7.935, -14.771, 18.005
0.100, 0.116, 1.132, 1.465, -15.564, 21.790
0.097, 0.381, 1.277, -2.686, -14.282, 19.775
0.097, 0.394, 1.327, -1.709, -9.705, 10.132
0.090, 0.203, 1.281, 2.014, -4.333, -0.244
0.093, -0.055, 1.160, 4.211, 0.610, -6.775
0.098, -0.274, 1.012, 3.113, 3.906, -8.423

-0.673, -0.363, 2.082, -9.521, -94.910, 32.532
-0.712, -0.522, 2.592, -0.122, -91.858, 40.466
-0.749, -0.462, 3.181, 5.676, -82.336, 53.467
-0.776, -0.270, 3.699, 31.982, -64.026, 68.298
-0.731, -0.078, 4.000, 45.044, -38.025, 78.186
-0.774, 0.180, 4.000, 20.691, -0.854, 82.458
-0.792, 0.588, 4.000, 30.640, 45.227, 87.219
-0.913, 1.106, 4.000, 42.480, 100.830, 86.914
-1.103, 1.679, 4.000, 49.194, 164.185, 76.965
-1.366, 2.042, 4.000, 54.993, 232.971, 56.824
-1.693, 2.031, 4.000, 60.608, 300.537, 26.733
-2.048, 1.700, 3.998, 71.289, 360.901, -3.601
-2.367, 1.213, 3.334, 87.585, 411.316, -28.198
-2.650, 0.672, 2.770, 93.506, 451.172, -44.373
-2.915, 0.030, 2.148, 84.351, 483.765, -53.711
-3.183, -0.393, 1.707, 75.867, 510.254, -52.490
-3.493, -0.485, 1.498, 85.815, 530.212, -39.124
-3.719, -0.549, 0.801, 80.994, 553.040, -25.635
-3.872, -0.518, -0.018, 46.204, 571.289, -15.991
-3.814, -0.481, -0.911, 14.160, 577.148, -11.047
-3.630, -0.231, -1.732, -32.166, 572.876, -12.512
-3.255, -0.083, -3.330, -16.541, 554.199, -22.217
-2.767, -0.401, -3.813, 93.079, 504.089, -31.677
-2.295, -0.669, -3.641, 105.469, 446.838, -34.180
-1.727, -0.813, -4.000, 87.708, 399.963, -36.865
-1.234, -1.193, -4.000, 96.863, 341.492, -44.556
-0.835, -2.364, -4.000, 153.809, 274.353, -44.922
-0.414, -3.132, -4.000, 253.418, 200.317, -11.169
-0.134, -3.052, -4.000, 278.015, 110.413, 32.837
-0.187, -3.007, -4.000, 232.178, 13.916, 72.937
-0.447, -2.560, -4.000, 192.749, -85.876, 109.497
-0.859, -2.182, -4.000, 166.626, -180.176, 136.169
-1.218, -1.824, -3.485, 148.438, -253.662, 156.250
-1.583, -1.633, -2.749, 141.541, -310.669, 170.105
-1.995, -1.608, -2.223, 145.081, -358.276, 180.542
-2.446, -1.673, -1.744, 146.057, -401.245, 191.833
-2.885, -1.731, -1.190, 131.409, -441.162, 205.444
-3.302, -1.788, -0.524, 104.736, -477.539, 223.267
-3.736, -1.741, 0.627, 73.059, -508.789, 245.056
-4.000, -1.752, 1.711, 45.044, -527.222, 271.423
-4.000, -1.062, 3.115, 41.748, -529.358, 307.312
-4.000, -0.349, 3.850, 33.081, -504.822, 339.417
-3.930, 0.426, 4.000, 74.768, -474.609, 356.079
-3.534, 1.551, 4.000, 113.525, -437.500, 362.976
-3.031, 3.056, 4.000, 156.372, -397.583, 350.159
-2.543, 4.000, 4.000, 153.381, -350.342, 304.016
-2.007, 4.000, 4.000, 158.142, -299.683, 233.582
-1.526, 4.000, 4.000, 166.138, -246.948, 148.926
-1.166, 3.907, 4.000, 173.706, -193.237, 65.491
-0.923, 2.800, 4.000, 163.696, -139.221, -1.953
-0.759, 1.780, 3.959, 147.705, -89.600, -46.265
-0.633, 1.125, 3.382, 124.878, -51.025, -69.153
-0.564, 0.747, 3.199, 94.543, -25.146, -78.979
-0.541, 0.697, 3.405, 68.726, -4.211, -81.604
