ax,ay,az,gx,gy,gz
-0.593, -1.038, -1.507, -49.133, -198.914, -109.375
-0.739, -1.338, -1.122, -41.748, -235.352, -95.825
-0.887, -1.630, -0.768, -32.288, -264.587, -78.247
-1.103, -2.025, -0.482, -23.315, -288.513, -59.082
-1.248, -2.529, 0.055, -12.085, -310.974, -37.292
-1.364, -3.038, 0.765, 17.944, -329.285, -8.606
-1.480, -3.297, 1.397, 57.312, -337.463, 27.832
-1.504, -3.490, 2.143, 77.515, -338.501, 66.711
-1.599, -3.757, 2.956, 97.656, -331.299, 105.286
-1.636, -3.873, 3.606, 117.676, -313.538, 147.400
-1.664, -3.765, 3.877, 132.935, -285.156, 193.970
-1.740, -3.335, 3.850, 142.639, -252.991, 240.540
-1.804, -2.685, 3.580, 143.066, -222.778, 280.579
-1.856, -1.933, 3.370, 137.024, -197.876, 311.401
-1.886, -1.167, 3.304, 125.000, -177.917, 330.139
-1.855, -0.540, 3.411, 111.877, -160.461, 336.487
-1.776, -0.114, 3.673, 103.455, -142.456, 333.557
-1.658, 0.171, 3.870, 95.215, -119.934, 325.256
-1.540, 0.400, 3.982, 80.872, -92.529, 315.186
-1.421, 0.661, 4.000, 60.974, -62.256, 304.688
-1.336, 0.818, 4.000, 38.452, -31.067, 290.894
-1.251, 0.884, 4.000, 14.038, 2.319, 275.208
-1.229, 0.872, 4.000, -8.728, 40.039, 259.644
-1.320, 0.780, 4.000, -27.832, 84.656, 245.239
-1.415, 0.628, 4.000, -47.180, 134.338, 232.544
-1.608, 0.533, 4.000, -59.998, 186.218, 223.694
-1.849, 0.567, 4.000, -60.364, 240.540, 217.651
-2.056, 0.650, 4.000, -61.523, 291.260, 211.914
-2.307, 0.757, 3.619, -54.749, 335.449, 205.017
-2.431, 1.101, 3.154, -44.617, 372.009, 197.571
-2.672, 1.309, 2.722, -39.124, 400.757, 184.265
-2.756, 1.416, 2.199, -34.546, 424.805, 164.917
-2.765, 1.350, 1.664, -33.386, 442.993, 143.494
-2.747, 1.211, 1.078, -49.866, 454.834, 122.375
-2.662, 1.091, 0.453, -74.707, 460.632, 102.600
