ax,ay,az,gx,gy,gz
0.087, -0.443, 0.951, -9.949, -7.996, -14.465
0.089, -0.419, 0.976, -5.493, -8.545, -11.292
0.089, -0.379, 0.975, -1.648, -8.667, -8.240
0.085, -0.350, 0.984, 0.732, -8.484, -6.653
0.084, -0.350, 0.991, 2.563, -8.362, -5.981
0.082, -0.363, 0.986, 5.188, -8.240, -5.127
0.075, -0.332, 0.985, 6.226, -8.118, -3.662
0.079, -0.271, 0.979, 3.357, -7.568, -2.502
0.079, -0.243, 0.984, 0.183, -7.385, -2.930
0.077, -0.264, 1.004, -1.099, -7.812, -4.150
0.073, -0.329, 1.021, -0.305, -7.080, -5.188
0.068, -0.428, 1.001, 1.343, -6.531, -5.676

-0.658, 0.127, 2.337, -31.738, 8.057, 73.242
-0.668, 0.158, 2.431, -33.691, 22.461, 76.355
-0.719, 0.188, 2.461, -32.654, 38.513, 79.102
-0.780, 0.272, 2.411, -26.855, 55.481, 82.153
-0.799, 0.394, 2.367, -16.357, 71.228, 84.595
-0.778, 0.463, 2.481, -8.057, 84.717, 84.045
-0.791, 0.435, 2.754, -5.493, 98.999, 80.933
-0.845, 0.365, 3.091, -0.732, 117.065, 78.674
-0.972, 0.296, 3.347, 3.540, 141.907, 77.881
-1.068, 0.256, 3.612, 5.066, 172.363, 78.491
-1.231, 0.329, 3.620, 26.733, 208.618, 82.092
-1.493, 0.257, 3.544, 43.579, 246.216, 84.229
-1.716, 0.321, 3.295, 51.392, 285.767, 89.539
-1.954, 0.460, 2.970, 61.096, 322.937, 93.567
-2.177, 0.588, 2.578, 61.829, 356.140, 96.130
-2.335, 0.754, 2.183, 53.040, 384.644, 95.581
-2.502, 0.957, 1.793, 44.739, 407.288, 92.773
-2.623, 1.259, 1.469, 30.090, 425.598, 87.158
-2.687, 1.667, 1.126, 4.089, 440.125, 75.928
-2.738, 2.033, 0.756, -17.456, 450.378, 56.335
-2.711, 2.323, 0.306, -56.030, 456.055, 27.771
-2.686, 2.347, -0.212, -103.821, 455.933, -9.766
-2.631, 2.508, -0.678, -140.015, 446.960, -50.537
-2.577, 2.493, -1.019, -180.420, 428.955, -99.426
-2.482, 2.445, -1.220, -231.445, 404.236, -150.146
-2.402, 2.198, -1.444, -285.034, 374.573, -207.825
-2.340, 1.734, -1.557, -309.692, 338.074, -261.292
-2.290, 1.213, -1.620, -319.763, 297.913, -307.434
-2.197, 0.730, -1.781, -323.547, 258.118, -341.553
-2.024, 0.247, -2.014, -303.528, 217.773, -366.333
-1.848, -0.228, -2.470, -265.564, 176.270, -380.493
-1.649, -0.798, -2.869, -232.605, 132.080, -387.573
-1.414, -1.385, -3.441, -218.628, 83.496, -385.925
-1.204, -2.014, -3.908, -188.416, 26.611, -374.756
-1.091, -2.736, -4.000, -154.663, -36.743, -354.004
-1.029, -3.398, -4.000, -164.856, -102.234, -322.021
-1.043, -3.691, -3.926, -223.511, -169.800, -278.809
-1.078, -3.762, -4.000, -298.584, -236.572, -228.394
-1.373, -4.000, -3.324, -182.861, -318.848, -182.190
-1.701, -4.000, -2.130, -185.547, -393.127, -109.009
-1.979, -4.000, -0.781, -181.152, -446.289, -33.020
-2.268, -4.000, 0.550, -169.128, -478.027, 42.358
-2.548, -4.000, 1.736, -145.325, -488.037, 114.075
-2.692, -4.000, 2.494, -116.394, -478.271, 185.669
-2.807, -3.485, 3.262, -75.867, -457.092, 252.808
-2.897, -3.170, 3.136, 36.865, -432.312, 306.274
-2.869, -2.465, 4.000, 95.520, -416.626, 349.182
-3.016, -2.190, 4.000, 69.641, -378.418, 373.230
-2.924, -1.870, 4.000, 59.692, -329.834, 399.048
-3.010, -1.223, 4.000, 24.231, -260.071, 426.575
-2.891, -0.595, 4.000, 91.003, -186.951, 451.660
-2.798, 0.136, 4.000, 135.437, -120.117, 466.614
-2.728, 1.149, 4.000, 163.879, -52.429, 470.520
-2.534, 2.153, 4.000, 210.266, 5.859, 465.881
-2.283, 3.375, 4.000, 240.906, 54.321, 446.228
-1.944, 4.000, 4.000, 238.037, 96.008, 406.677
-1.644, 4.000, 4.000, 210.876, 133.850, 354.431
-1.423, 4.000, 3.953, 149.841, 169.434, 290.039
-1.281, 4.000, 3.511, 59.387, 206.177, 216.858
-1.237, 4.000, 2.983, -43.823, 244.629, 132.385
-1.274, 4.000, 2.029, -111.206, 280.579, 43.884
-1.325, 2.927, 1.115, -135.681, 304.810, -31.067
-1.307, 1.788, 0.367, -139.526, 314.575, -80.566
-1.223, 1.014, -0.276, -128.113, 313.599, -108.215
-1.072, 0.519, -0.885, -89.661, 303.040, -120.361
-0.868, 0.184, -1.599, -17.761, 284.790, -121.094
-0.661, 0.104, -2.296, 40.527, 257.935, -113.708
-0.425, 0.103, -2.743, 57.373, 221.741, -105.713
-0.132, 0.071, -3.227, 71.167, 176.270, -99.426
0.026, 0.150, -3.646, 97.717, 123.169, -93.140
