ax,ay,az,dx,dy,dz,x,y,z
-15.293, 36.527, 15.372, 0.210, 0.962, -1.971, -0.102, 0.024, -0.002
-18.408, 35.874, 9.847, -0.076, 1.021, -2.133, -0.103, 0.027, -0.002
-21.948, 32.380, 4.333, -0.454, 1.374, -2.868, -0.105, 0.029, -0.001
-25.491, 27.507, -0.415, 1.327, -0.536, -2.941, -0.106, 0.031, -0.001
-29.011, 21.221, -4.261, -0.351, 0.755, -3.721, -0.109, 0.033, -0.001
-31.908, 14.373, -6.948, -0.671, 0.648, -3.634, -0.111, 0.034, -0.002
-33.826, 8.007, -8.347, -1.068, 0.593, -4.383, -0.113, 0.035, -0.003
-35.297, -0.482, -7.339, -1.957, 0.360, -4.610, -0.116, 0.035, -0.003
-36.273, -7.190, -4.364, -1.688, 0.032, -4.199, -0.118, 0.034, -0.003
-36.568, -13.381, -1.259, -2.082, -0.691, -4.727, -0.121, 0.033, -0.004
-35.355, -18.723, 0.772, -0.586, 1.265, -4.133, -0.124, 0.032, -0.004
-33.166, -25.692, 1.611, -0.619, 0.693, -4.539, -0.126, 0.030, -0.003
-29.856, -34.781, 2.325, -0.323, 0.385, -3.869, -0.128, 0.028, -0.003
-25.390, -39.265, 1.904, 0.105, 0.371, -3.613, -0.130, 0.026, -0.003
-20.153, -39.265, 1.058, 0.789, 0.567, -3.592, -0.132, 0.023, -0.003
-14.964, -39.265, -0.365, -3.147, -1.307, -2.953, -0.133, 0.019, -0.003
-10.318, -39.265, -1.488, -0.986, -0.389, -1.938, -0.134, 0.017, -0.003
-7.130, -39.265, -1.203, -1.238, -0.385, -1.280, -0.134, 0.014, -0.003
-5.511, -33.794, -0.715, -1.976, -0.515, -0.884, -0.135, 0.012, -0.003
-4.614, -23.643, -0.881, -1.576, -0.460, -0.519, -0.135, 0.009, -0.003
-3.536, -15.310, -1.631, -1.026, -0.322, -0.284, -0.135, 0.008, -0.003
-3.475, -10.375, -2.582, -0.965, -0.359, -0.258, -0.136, 0.007, -0.004
-3.153, -7.313, -4.204, -0.713, -0.353, -0.236, -0.136, 0.007, -0.004
-2.467, -5.760, -4.347, -0.746, -0.464, -0.301, -0.136, 0.006, -0.004
-2.130, -6.006, -2.664, -0.716, -0.531, -0.346, -0.136, 0.006, -0.004
-1.783, -6.936, -0.220, -1.308, -0.725, -0.333, -0.136, 0.006, -0.004
-1.431, -7.891, 2.180, -0.177, -0.283, -0.325, -0.136, 0.005, -0.004
-0.919, -8.231, 4.172, -0.185, -0.286, -0.325, -0.136, 0.004, -0.004
-0.438, -8.020, 5.109, -0.143, -0.245, -0.268, -0.136, 0.004, -0.004
-0.178, -7.403, 5.168, -0.104, -0.174, -0.187, -0.136, 0.003, -0.003
0.125, -5.711, 4.546, -0.096, -0.123, -0.132, -0.136, 0.003, -0.003
0.447, -4.396, 3.050, -0.137, -0.083, -0.112, -0.136, 0.003, -0.003
0.649, -3.365, 1.888, -0.152, -0.034, -0.096, -0.136, 0.002, -0.003
0.763, -3.130, 0.726, -0.067, 0.007, -0.086, -0.136, 0.002, -0.003
0.783, -2.931, 0.138, 0.369, -0.146, -0.098, -0.136, 0.002, -0.003
0.741, -2.361, 0.140, 0.230, -0.121, -0.076, -0.136, 0.002, -0.003
0.740, -1.506, -0.057, -1.045, 0.586, -0.076, -0.136, 0.002, -0.003
0.698, -1.727, -0.499, -0.496, 0.298, -0.100, -0.136, 0.001, -0.003
0.576, -2.151, -1.530, -0.391, 0.313, -0.126, -0.136, 0.001, -0.003
