ax,ay,az,dx,dy,dz,x,y,z
-3.809, 7.690, -15.316, -0.211, 0.360, -0.301, -0.095, -0.007, 0.004
-3.837, 7.080, -14.991, -0.130, 0.360, -0.430, -0.095, -0.007, 0.003
-3.467, 6.169, -15.579, -0.009, 0.321, -0.503, -0.096, -0.006, 0.001
-3.637, 5.642, -16.274, 0.066, 0.249, -0.499, -0.096, -0.006, 0.000
-3.578, 4.476, -17.311, 0.116, 0.236, -0.616, -0.096, -0.006, -0.001
-3.401, 3.551, -19.387, 0.076, 0.169, -0.579, -0.096, -0.005, -0.002
-3.132, 2.210, -21.559, 0.003, 0.128, -0.681, -0.097, -0.005, -0.004
-2.965, 0.843, -23.813, -0.089, 0.034, -0.618, -0.097, -0.005, -0.006
-3.049, -0.158, -25.130, -1.014, -0.072, -0.693, -0.097, -0.005, -0.008
-3.152, 0.235, -27.030, -0.235, -0.177, -0.584, -0.097, -0.005, -0.009
-3.151, 1.118, -29.310, -0.290, -0.338, -0.633, -0.097, -0.005, -0.012
-3.397, 2.257, -31.632, -0.240, -0.449, -0.557, -0.098, -0.005, -0.014
-4.013, 5.411, -33.573, -0.244, -0.700, -0.628, -0.098, -0.004, -0.016
-4.777, 7.738, -36.016, -0.163, -0.919, -0.678, -0.098, -0.004, -0.019
-6.013, 9.675, -38.002, -0.070, -1.032, -0.696, -0.099, -0.003, -0.022
-7.947, 9.801, -40.504, 0.010, -1.265, -0.832, -0.099, -0.003, -0.024
-10.748, 8.595, -43.083, 0.050, -1.716, -1.106, -0.100, -0.002, -0.028
-14.003, 6.123, -46.234, 0.104, -2.048, -1.262, -0.101, -0.001, -0.031
-18.475, 3.672, -48.593, 0.080, -2.152, -1.234, -0.102, -0.001, -0.034
-24.870, 1.306, -48.720, 0.011, -2.530, -1.300, -0.104, -0.001, -0.038
-32.263, -1.512, -45.932, -0.986, -3.329, -1.510, -0.106, -0.001, -0.041
-40.121, -6.449, -36.049, -1.092, -3.826, -1.512, -0.109, -0.002, -0.044
-40.700, -8.660, -21.370, -0.927, -3.817, -1.253, -0.112, -0.002, -0.046
-40.700, -9.044, -3.342, -0.854, -4.941, -1.263, -0.115, -0.003, -0.046
-40.700, -9.374, 17.182, -0.164, -3.953, -1.025, -0.118, -0.003, -0.046
-40.700, -11.329, 29.750, 0.122, -3.946, -0.994, -0.121, -0.004, -0.044
-40.577, -13.587, 29.750, 0.406, -4.177, -1.082, -0.124, -0.005, -0.041
-33.251, -15.741, 29.750, 0.446, -3.702, -1.028, -0.127, -0.006, -0.039
