ax,ay,az,gx,gy,gz
0.123, -0.396, 0.735, 12.817, -15.564, -7.507
0.130, -0.197, 0.942, 12.634, -20.325, -0.977
0.124, 0.005, 1.085, 12.512, -21.484, 1.831
0.123, 0.072, 1.109, 13.306, -19.836, 0.183
0.111, 0.064, 1.087, 14.404, -17.944, -2.380
0.099, -0.042, 1.075, 15.686, -16.785, -5.127
0.088, -0.176, 1.100, 15.991, -16.052, -6.226
0.071, -0.241, 1.148, 15.381, -15.747, -3.967
0.062, -0.151, 1.176, 13.428, -14.404, 0.061
0.052, 0.003, 1.216, 9.216, -12.451, 4.028
0.047, 0.130, 1.234, 4.761, -10.193, 4.211
0.035, 0.153, 1.185, 3.052, -7.324, 1.587
0.039, 0.086, 1.061, 3.601, -5.127, -1.831

-0.560, 0.467, 2.042, -41.382, -50.049, 36.621
-0.585, 0.449, 2.148, -41.748, -44.434, 34.302
-0.630, 0.485, 2.317, -38.574, -39.001, 33.630
-0.665, 0.521, 2.563, -31.921, -33.630, 33.020
-0.694, 0.505, 2.897, -27.222, -25.818, 31.006
-0.705, 0.505, 3.226, -28.198, -13.855, 29.724
-0.736, 0.631, 3.474, -33.752, 2.136, 29.785
-0.814, 0.770, 3.583, -47.363, 22.095, 28.748
-0.746, 1.187, 3.796, -80.200, 43.884, 26.062
-0.834, 1.353, 3.959, -64.880, 65.857, 19.836
-0.902, 1.648, 4.000, -68.237, 91.431, 7.202
-1.010, 1.793, 3.998, -63.171, 117.371, -8.484
-1.105, 1.900, 4.000, -61.218, 143.799, -27.161
-1.272, 1.819, 4.000, -37.964, 169.067, -49.438
-1.418, 1.636, 3.882, -28.564, 198.669, -67.932
-1.575, 1.435, 3.648, -14.709, 226.685, -84.900
-1.747, 1.268, 3.414, -2.747, 252.808, -97.168
-1.925, 1.228, 3.221, 4.700, 278.259, -106.140
-2.121, 1.341, 3.083, -2.136, 304.016, -114.502
-2.362, 1.457, 2.878, -18.250, 331.360, -127.319
-2.589, 1.381, 2.490, -23.926, 359.070, -146.362
-2.778, 1.091, 2.006, -10.437, 383.728, -166.931
-2.956, 0.656, 1.432, 7.141, 404.663, -183.289
-3.073, 0.277, 0.758, 21.912, 421.204, -191.711
-3.116, 0.033, -0.007, 30.945, 431.396, -191.956
-3.004, -0.129, -0.791, 30.701, 432.739, -188.293
-2.833, -0.169, -1.403, 24.414, 423.218, -183.289
-2.633, -0.076, -1.839, 12.024, 405.090, -178.223
-2.403, 0.036, -2.116, -4.822, 381.470, -178.162
-2.202, 0.000, -2.261, -12.634, 352.905, -184.631
-2.091, -0.145, -2.449, 0.732, 322.571, -193.909
-2.036, -0.356, -2.741, 40.344, 290.588, -201.416
-1.923, -0.801, -3.007, 95.276, 256.042, -208.008
-1.836, -1.607, -2.908, 145.630, 217.896, -211.853
-1.738, -2.473, -2.725, 184.998, 181.274, -204.956
-1.531, -3.240, -2.989, 201.721, 154.175, -181.885
-1.407, -3.991, -3.382, 202.515, 124.817, -150.940
-1.232, -4.000, -3.823, 189.819, 88.989, -110.840
-1.156, -4.000, -3.991, 171.448, 42.664, -55.237
-1.172, -4.000, -3.949, 156.189, -9.033, 12.817
-1.329, -4.000, -3.677, 145.325, -62.805, 85.938
-1.568, -4.000, -3.256, 139.526, -115.417, 154.236
-1.891, -3.680, -2.741, 142.944, -164.551, 207.642
-2.191, -3.054, -2.233, 148.621, -208.130, 244.873
-2.479, -2.579, -1.702, 152.710, -246.155, 272.278
-2.793, -2.193, -1.315, 155.701, -277.832, 294.373
-3.073, -1.957, -1.110, 153.137, -304.688, 312.561
-3.381, -1.799, -1.000, 135.315, -329.407, 330.200
-3.775, -1.646, -0.824, 92.834, -353.394, 351.074
-4.000, -1.272, -0.346, 42.969, -376.526, 377.625
-4.000, -0.795, 0.351, 7.019, -395.325, 405.396
-4.000, -0.479, 1.119, -9.949, -405.762, 427.856
-4.000, -0.207, 2.078, -7.935, -409.424, 448.975
-4.000, 1.059, 3.043, 1.587, -403.564, 480.896
-4.000, 3.668, 3.891, 32.898, -389.099, 511.047
-4.000, 4.000, 4.000, 34.668, -364.136, 493.286
-3.364, 4.000, 4.000, 88.135, -327.759, 424.561
-2.503, 4.000, 4.000, 178.894, -295.349, 303.101
-1.872, 4.000, 4.000, 178.345, -252.747, 180.542
-1.438, 4.000, 4.000, 159.668, -207.336, 81.299
-1.242, 4.000, 4.000, 139.221, -162.476, 12.390
-1.135, 3.073, 3.750, 118.713, -127.380, -27.771
-1.076, 2.241, 3.336, 98.022, -101.318, -47.119
-1.079, 1.806, 3.399, 94.849, -83.923, -51.270
-1.007, 1.872, 3.681, 108.826, -66.711, -47.119
-0.992, 2.507, 3.880, 137.451, -41.626, -41.992
-0.972, 3.021, 3.957, 169.983, -11.230, -52.917
-1.015, 3.154, 3.818, 193.787, 24.048, -80.139
-1.094, 3.083, 3.426, 208.435, 61.951, -110.413
-1.201, 2.966, 2.920, 212.280, 97.107, -138.794
-1.347, 3.001, 2.459, 204.895, 126.953, -163.879
-1.533, 3.318, 2.049, 183.716, 152.405, -187.988
-1.802, 3.614, 1.633, 151.855, 174.377, -219.849
-2.104, 3.828, 1.085, 110.962, 192.688, -260.254
-2.487, 3.908, 0.531, 58.289, 204.102, -308.350
-2.957, 3.877, 0.016, -2.991, 204.834, -362.671
-3.489, 3.557, -0.463, -70.801, 195.374, -422.729
-3.999, 3.101, -0.912, -136.414, 173.279, -484.741
-4.000, 2.314, -1.265, -183.899, 137.939, -544.800
-4.000, 1.270, -1.154, -201.782, 88.684, -597.961
-4.000, 0.236, -0.385, -188.538, 33.081, -634.460
-4.000, -0.914, 0.866, -159.790, -12.268, -655.273
-4.000, -2.305, 2.040, -133.484, -35.339, -661.926
-4.000, -3.794, 2.881, -123.108, -34.729, -648.132
-4.000, -4.000, 3.516, -132.141, -19.104, -610.596
-3.532, -4.000, 3.809, -160.828, 7.080, -546.753
-2.693, -4.000, 3.630, -176.270, 38.940, -459.961
-1.990, -4.000, 2.858, -159.363, 70.007, -351.196
