ax,ay,az,gx,gy,gz
-0.037, 0.152, 1.152, -27.405, 26.306, 16.113
-0.040, 0.151, 1.019, -33.691, 28.809, 12.573
-0.045, 0.113, 0.926, -37.903, 29.297, 9.033
-0.028, 0.048, 0.853, -38.940, 27.954, 6.409
-0.044, 0.037, 0.845, -36.743, 25.696, 5.920
-0.069, 0.127, 0.910, -35.400, 23.376, 6.836
-0.016, 0.285, 0.988, -34.668, 21.851, 6.775
-0.036, 0.268, 0.963, -31.311, 22.522, 2.869
-0.018, 0.259, 0.911, -31.494, 23.132, -0.183
-0.021, 0.169, 0.844, -32.715, 22.583, -2.869
-0.017, 0.141, 0.793, -37.109, 21.179, -3.906
0.000, 0.115, 0.749, -40.955, 19.287, -4.333
-0.010, 0.078, 0.691, -38.513, 16.113, -4.639

-0.154, 0.459, 2.460, -31.189, 8.850, 56.885
-0.158, 0.540, 2.639, -43.091, 16.663, 54.871
-0.194, 0.606, 2.883, -59.631, 26.001, 52.673
-0.225, 0.652, 3.138, -69.519, 38.513, 49.927
-0.241, 0.768, 3.282, -67.383, 55.298, 48.462
-0.281, 0.979, 3.279, -59.082, 75.195, 47.241
-0.340, 1.156, 3.135, -49.744, 95.642, 42.297
-0.425, 1.254, 2.875, -43.640, 114.502, 33.447
-0.481, 1.251, 2.540, -38.086, 130.127, 22.705
-0.541, 1.179, 2.255, -32.959, 140.930, 11.169
-0.566, 1.080, 2.014, -33.447, 147.888, 0.366
-0.622, 0.983, 1.891, -38.452, 151.794, -8.850
-0.666, 0.861, 1.900, -49.622, 154.480, -18.677
-0.751, 0.754, 1.996, -65.735, 158.447, -27.039
-0.838, 0.663, 1.994, -81.909, 165.955, -34.546
-0.914, 0.561, 1.928, -87.341, 175.659, -40.527
-0.992, 0.539, 1.776, -82.275, 185.791, -44.373
-1.034, 0.532, 1.537, -71.899, 195.740, -46.875
-1.077, 0.553, 1.226, -59.998, 204.346, -49.194
-1.088, 0.599, 0.893, -48.462, 210.327, -51.086
-1.088, 0.789, 0.548, -36.804, 212.708, -52.185
-1.052, 0.925, 0.238, -31.189, 211.975, -56.030
-1.022, 1.000, -0.052, -45.288, 207.397, -64.514
-1.012, 1.148, -0.197, -64.941, 200.317, -73.853
-0.962, 1.236, -0.462, -73.303, 192.078, -84.351
-0.910, 1.254, -0.679, -82.581, 181.213, -98.022
-0.863, 1.144, -0.864, -88.013, 167.542, -112.549
-0.815, 1.008, -0.966, -88.440, 151.489, -124.390
-0.760, 0.858, -1.011, -83.740, 134.521, -132.996
-0.724, 0.781, -1.009, -75.623, 118.042, -138.184
-0.708, 0.838, -0.971, -64.209, 101.685, -140.503
-0.711, 0.912, -0.954, -46.021, 87.219, -143.372
-0.750, 1.053, -1.044, -30.579, 73.914, -148.315
-0.770, 1.172, -1.202, -22.644, 60.547, -156.555
-0.775, 1.244, -1.279, -25.513, 44.006, -168.274
-0.794, 1.108, -1.238, -37.048, 25.391, -184.387
-0.797, 0.775, -1.094, -52.368, 7.324, -200.989
-0.828, 0.365, -0.976, -62.744, -8.179, -212.463
-0.836, -0.004, -0.893, -59.021, -21.912, -216.492
-0.831, -0.385, -0.810, -45.410, -34.302, -216.125
-0.804, -0.537, -0.769, -28.015, -45.654, -209.229
-0.762, -0.510, -0.701, -16.174, -56.091, -200.378
-0.737, -0.590, -0.665, -9.644, -66.101, -196.472
-0.672, -0.741, -0.650, -15.198, -74.585, -194.885
