-0.085, 0.570, 2.704, 20.630, 38.330, 67.017
-0.098, 0.776, 2.789, 27.100, 50.049, 62.317
-0.107, 0.897, 2.832, 31.311, 63.965, 54.260
-0.122, 0.914, 2.849, 30.518, 79.346, 44.250
-0.158, 0.911, 2.827, 26.123, 95.398, 35.339
-0.204, 0.898, 2.748, 21.118, 112.244, 27.466
-0.253, 0.903, 2.615, 13.977, 128.662, 20.447
-0.330, 0.909, 2.486, 5.432, 143.738, 13.184
-0.423, 0.873, 2.340, -2.625, 157.288, 5.615
-0.490, 0.835, 2.141, -8.606, 169.495, -1.404
-0.560, 0.897, 1.959, -13.855, 179.504, -6.287
-0.648, 0.980, 1.862, -17.395, 186.768, -12.939
-0.712, 0.987, 1.747, -18.860, 193.726, -22.217
-0.761, 0.922, 1.574, -16.846, 200.623, -31.677
-0.799, 1.030, 1.404, -15.747, 206.543, -38.574
-0.849, 1.132, 1.241, -17.273, 211.121, -45.898
-0.886, 1.203, 1.075, -23.926, 215.210, -56.396
-0.924, 1.255, 0.919, -31.189, 218.201, -67.749
-0.978, 1.304, 0.746, -38.574, 220.215, -79.285
-1.031, 1.343, 0.468, -42.786, 221.619, -91.064
-1.078, 1.497, 0.096, -48.645, 220.886, -102.234
-1.120, 1.617, -0.293, -56.580, 215.942, -116.333
-1.118, 1.619, -0.676, -65.247, 206.726, -134.155
-1.104, 1.533, -0.965, -74.280, 193.115, -153.381
-1.107, 1.356, -1.213, -85.938, 176.147, -171.936
-1.095, 1.124, -1.437, -99.792, 157.288, -188.538
-1.084, 0.989, -1.641, -115.784, 136.353, -201.294
-1.122, 0.890, -1.914, -131.042, 113.464, -212.280
-1.180, 0.781, -2.274, -139.709, 86.914, -224.487
-1.242, 0.589, -2.628, -137.573, 54.993, -238.098
-1.328, 0.229, -2.907, -121.826, 17.822, -252.502
-1.412, -0.329, -2.835, -106.934, -23.132, -264.893
-1.513, -1.163, -2.354, -104.248, -65.186, -274.170
-1.609, -2.193, -1.834, -105.896, -100.281, -274.353
-1.670, -3.248, -1.563, -98.633, -126.099, -260.803
-1.694, -4.000, -1.547, -85.022, -147.522, -234.436
-1.694, -4.000, -1.566, -63.538, -171.753, -194.702
-1.676, -4.000, -1.399, -29.480, -200.623, -141.113
-1.736, -4.000, -0.799, -0.793, -231.445, -77.637
-1.802, -4.000, 0.100, 22.522, -257.629, -8.667
-1.865, -4.000, 1.012, 49.194, -273.071, 61.890
-1.927, -4.000, 1.766, 87.341, -277.710, 136.902
-2.035, -4.000, 2.306, 135.132, -275.085, 213.989
-2.064, -4.000, 2.853, 157.166, -267.883, 283.264
-2.154, -3.772, 3.624, 140.442, -256.592, 336.365
-2.151, -2.575, 4.000, 103.821, -236.816, 377.747
-2.099, -0.865, 4.000, 64.270, -205.322, 416.565
-1.799, 1.590, 4.000, 39.490, -162.109, 441.040
-1.370, 3.889, 4.000, 17.029, -108.948, 429.688
-0.938, 4.000, 4.000, -6.775, -47.302, 373.291
-0.601, 4.000, 4.000, -3.906, 16.846, 300.354
-0.388, 4.000, 4.000, 13.367, 81.909, 226.746
-0.275, 4.000, 4.000, 30.823, 141.907, 162.476
-0.276, 4.000, 3.482, 40.344, 184.937, 117.798
-0.350, 3.718, 2.491, 53.955, 211.731, 77.881
-0.382, 3.158, 1.536, 71.899, 227.356, 41.870
-0.412, 2.613, 0.734, 89.355, 232.727, 14.160
-0.419, 2.219, 0.155, 105.225, 228.821, -3.601
-0.452, 1.951, -0.265, 110.962, 219.727, -16.663
-0.478, 1.735, -0.817, 110.962, 209.106, -28.198
-0.524, 1.587, -1.512, 108.398, 194.336, -38.086
-0.478, 1.473, -2.129, 95.703, 171.082, -48.523
-0.418, 1.290, -2.609, 75.073, 139.832, -60.547
-0.390, 1.111, -2.775, 54.138, 101.562, -72.815
-0.365, 0.866, -2.535, 38.086, 59.814, -84.473
-0.375, 0.651, -1.957, 20.630, 20.386, -94.482
-0.366, 0.280, -1.437, 10.132, -8.545, -103.333
-0.364, -0.164, -1.177, 7.263, -28.381, -108.154
-0.334, -0.337, -1.126, 4.700, -44.312, -102.966
-0.331, -0.250, -1.170, 2.380, -60.181, -93.079
-0.348, -0.026, -1.177, -4.639, -78.430, -85.266
-0.339, 0.156, -0.915, -21.362, -99.243, -82.764
-0.320, 0.389, -0.404, -53.772, -119.263, -81.970
-0.272, 1.064, 0.110, -94.910, -132.812, -79.346
-0.313, 2.065, 0.525, -137.207, -139.832, -82.275
-0.427, 2.835, 0.651, -169.983, -141.907, -104.248
-0.596, 3.077, 0.504, -193.787, -144.104, -143.188
-0.858, 2.816, 0.443, -212.097, -153.015, -189.392
-1.118, 2.074, 0.800, -223.206, -169.800, -234.192
-1.395, 1.090, 1.429, -223.145, -186.523, -269.226
-1.562, -0.049, 2.143, -188.416, -197.083, -291.016
-1.545, -1.362, 2.938, -131.653, -197.998, -299.622
-1.373, -2.563, 3.532, -82.886, -185.425, -289.734
-1.080, -3.289, 3.781, -67.505, -158.936, -256.348
-0.811, -3.525, 3.796, -86.548, -127.686, -209.717
-0.572, -3.313, 3.546, -121.643, -96.680, -158.142
-0.394, -2.761, 3.047, -144.409, -70.190, -110.657
-0.250, -2.138, 2.482, -146.179, -53.040, -75.500
-0.157, -1.655, 2.088, -122.620, -46.631, -54.199
-0.089, -1.250, 1.901, -74.646, -48.279, -42.542
