-0.137, -0.779, 2.386, 20.996, -63.293, 19.592
-0.185, -0.835, 2.589, 21.606, -59.814, 23.560
-0.243, -0.925, 2.891, 18.494, -56.030, 27.649
-0.290, -1.023, 3.471, 15.686, -50.903, 32.654
-0.357, -1.103, 4.000, 23.499, -40.588, 39.429
-0.440, -1.254, 4.000, 49.316, -19.104, 47.058
-0.584, -1.264, 4.000, 76.721, 16.541, 58.533
-0.759, -1.120, 4.000, 89.294, 70.251, 72.327
-1.017, -0.878, 4.000, 83.923, 134.827, 84.900
-1.300, -0.510, 4.000, 70.251, 200.439, 94.055
-1.589, -0.263, 4.000, 50.415, 258.911, 95.825
-1.855, -0.279, 3.721, 28.381, 306.458, 90.637
-2.114, -0.468, 2.938, 11.230, 343.689, 84.595
-2.317, -0.534, 2.193, -2.197, 372.070, 84.534
-2.423, -0.223, 1.533, -11.841, 392.395, 90.515
-2.497, 0.233, 0.966, -14.099, 404.846, 92.651
-2.540, 0.496, 0.435, -12.390, 411.621, 83.740
-2.540, 0.659, -0.113, 0.732, 412.842, 68.604
-2.444, 0.611, -0.709, 14.099, 409.302, 50.842
-2.279, 0.522, -1.187, 15.930, 399.353, 33.936
-2.133, 0.291, -1.646, 21.118, 383.972, 17.761
-2.032, -0.063, -2.067, 31.128, 364.868, 3.540
-1.912, -0.414, -2.524, 49.072, 340.149, -4.089
-1.702, -0.677, -3.080, 76.111, 310.059, -6.775
-1.491, -0.816, -3.585, 98.145, 272.827, -5.005
-1.179, -0.906, -4.000, 110.413, 228.699, -2.747
-0.907, -0.999, -4.000, 119.751, 175.903, -1.831
-0.747, -1.405, -4.000, 133.606, 110.046, -1.282
-0.693, -1.872, -4.000, 134.766, 33.936, 4.578
-0.756, -2.503, -4.000, 134.033, -42.419, 16.968
-0.988, -2.855, -3.987, 134.583, -113.586, 41.260
-1.184, -2.864, -3.386, 129.944, -172.607, 75.012
-1.466, -2.490, -3.006, 131.836, -220.459, 109.924
-1.703, -2.021, -2.685, 139.221, -263.916, 137.329
-1.976, -1.737, -2.134, 148.560, -307.068, 153.442
-2.208, -1.595, -1.496, 158.875, -345.825, 164.062
-2.376, -1.485, -0.828, 163.513, -375.977, 173.340
-2.538, -1.402, -0.193, 157.898, -397.583, 181.702
-2.682, -1.378, 0.371, 149.170, -411.926, 191.345
-2.785, -1.274, 0.866, 134.399, -419.678, 203.430
-2.766, -0.793, 1.387, 116.028, -421.936, 221.313
-2.684, 0.081, 1.953, 103.149, -418.884, 236.511
-2.517, 0.914, 2.442, 98.083, -408.569, 236.267
-2.201, 1.618, 2.965, 105.469, -392.456, 220.459
-1.873, 2.158, 3.570, 121.704, -371.033, 192.383
-1.611, 2.349, 3.939, 145.813, -341.125, 153.931
-1.332, 2.386, 4.000, 159.668, -304.688, 112.000
-1.080, 2.160, 4.000, 159.058, -266.907, 70.496
-0.934, 1.889, 3.996, 145.264, -229.126, 33.691
-0.849, 1.611, 3.737, 128.174, -192.017, 3.845
-0.797, 1.417, 3.342, 119.202, -158.264, -18.494
-0.782, 1.262, 2.829, 116.699, -130.859, -37.720
-0.777, 1.108, 2.428, 111.938, -112.183, -55.115
-0.744, 1.039, 2.580, 105.835, -103.088, -69.519
-0.770, 0.966, 3.208, 113.647, -95.764, -82.764
-0.826, 1.004, 3.747, 129.150, -76.111, -92.651
-0.915, 1.252, 4.000, 131.470, -45.227, -102.844
-0.992, 1.391, 4.000, 129.333, -3.113, -118.469
-1.126, 1.577, 4.000, 115.356, 43.213, -137.146
-1.313, 1.871, 3.960, 90.881, 89.783, -158.081
-1.601, 2.177, 3.681, 56.641, 132.812, -184.448
-2.018, 2.419, 3.381, 9.216, 172.119, -219.238
-2.450, 2.714, 3.037, -51.880, 206.360, -259.583
-2.968, 2.776, 2.627, -124.634, 233.337, -311.768
-3.538, 2.400, 2.162, -193.420, 250.610, -374.451
-3.999, 1.593, 1.814, -240.662, 255.615, -438.721
-4.000, 0.480, 1.517, -246.582, 251.831, -494.446
-4.000, -0.733, 1.227, -216.980, 243.652, -531.982
-4.000, -2.013, 0.860, -169.739, 234.192, -548.523
-4.000, -3.202, 0.441, -122.925, 223.938, -541.260
-3.514, -4.000, 0.136, -86.609, 210.754, -509.521
-2.985, -4.000, -0.171, -56.946, 195.129, -458.618
-2.350, -4.000, -0.404, -78.796, 176.697, -393.921
-1.769, -4.000, -0.544, -117.737, 152.954, -322.021
-1.413, -4.000, -0.567, -142.273, 124.756, -248.169
-1.132, -3.567, -0.472, -136.047, 94.849, -183.594
-0.977, -2.549, -0.311, -90.637, 66.650, -140.381
-0.873, -1.686, -0.174, -33.875, 43.091, -117.554
-0.800, -1.128, -0.036, 13.733, 24.109, -111.267
-0.755, -0.911, 0.136, 44.312, 8.789, -116.028
-0.710, -1.052, 0.314, 61.584, -2.686, -124.695
-0.642, -1.393, 0.561, 57.861, -10.803, -129.883
-0.572, -1.685, 0.982, 31.189, -16.479, -126.099
-0.545, -1.799, 1.397, -2.441, -16.113, -114.136
-0.525, -1.737, 1.654, -29.663, -9.155, -97.961
-0.502, -1.618, 1.738, -40.649, 1.587, -83.191
-0.468, -1.518, 1.597, -34.058, 14.160, -71.045
-0.420, -1.379, 1.350, -17.517, 24.719, -59.570
-0.386, -1.174, 1.094, -1.953, 30.945, -49.194
-0.351, -1.016, 0.898, 7.324, 33.325, -42.358
-0.313, -0.928, 0.772, 11.780, 32.227, -38.269
-0.291, -0.832, 0.674, 15.320, 29.785, -34.485
-0.256, -0.756, 0.558, 17.212, 26.428, -31.311
-0.236, -0.750, 0.497, 14.832, 21.362, -29.846
-0.213, -0.728, 0.495, 12.085, 14.771, -27.344
-0.196, -0.697, 0.561, 9.949, 8.240, -24.536
-0.197, -0.686, 0.673, 10.681, 3.052, -21.851
-0.199, -0.693, 0.827, 13.611, -1.038, -19.409
-0.196, -0.686, 1.002, 20.691, -3.235, -16.174
-0.201, -0.649, 1.141, 27.954, -2.319, -12.207
-0.205, -0.548, 1.201, 31.311, 0.916, -8.423
-0.210, -0.452, 1.167, 29.968, 5.737, -6.226
-0.221, -0.371, 1.064, 23.682, 10.254, -5.981
-0.210, -0.385, 0.899, 14.648, 14.038, -7.324
