0.039, 0.034, 3.006, -7.385, -12.634, 26.306
0.035, 0.147, 3.439, -21.790, -0.061, 29.175
0.036, 0.289, 3.637, -29.785, 18.494, 30.640
0.007, 0.565, 3.698, -25.024, 37.842, 31.982
-0.027, 0.844, 3.630, -10.620, 56.091, 29.358
-0.059, 0.868, 3.615, 5.737, 72.144, 19.836
-0.112, 0.722, 3.714, 19.165, 86.731, 9.216
-0.193, 0.490, 3.758, 27.649, 104.492, 1.160
-0.291, 0.234, 3.648, 33.203, 125.488, -1.953
-0.392, 0.088, 3.354, 32.104, 148.071, -0.916
-0.488, 0.079, 3.015, 23.193, 169.250, 3.296
-0.572, 0.288, 2.575, 10.315, 188.477, 8.118
-0.656, 0.599, 2.116, 3.967, 203.918, 10.437
-0.717, 0.683, 1.717, 2.869, 214.355, 3.967
-0.776, 0.597, 1.322, 1.770, 221.497, -4.272
-0.828, 0.451, 0.931, 1.831, 226.135, -11.658
-0.857, 0.269, 0.587, 1.099, 228.088, -15.930
-0.875, 0.074, 0.298, -3.662, 227.844, -18.372
-0.919, 0.005, 0.076, -7.629, 225.830, -16.846
-0.970, -0.064, -0.201, -8.423, 223.328, -14.526
-0.989, -0.196, -0.598, -10.132, 219.604, -12.695
-0.949, -0.315, -1.046, -15.564, 213.562, -9.399
-0.893, -0.386, -1.387, -25.696, 202.393, -4.211
-0.810, -0.256, -1.636, -39.062, 187.012, 2.930
-0.749, 0.259, -1.741, -53.345, 169.312, 11.230
-0.716, 0.662, -1.836, -66.162, 151.306, 9.216
-0.674, 0.934, -2.076, -80.444, 134.216, -1.648
-0.608, 0.910, -2.467, -88.867, 115.295, -18.555
-0.551, 0.706, -2.854, -88.867, 90.210, -37.476
-0.520, 0.367, -3.041, -78.064, 58.105, -51.636
-0.493, -0.056, -2.892, -64.636, 22.339, -60.791
-0.485, -0.411, -2.466, -50.415, -11.597, -61.890
-0.480, -0.702, -2.045, -39.062, -38.269, -55.847
-0.490, -0.819, -1.834, -31.250, -57.373, -44.861
-0.493, -0.974, -1.813, -30.334, -72.571, -32.898
-0.500, -0.963, -1.966, -33.997, -87.585, -18.677
-0.519, -0.549, -2.279, -42.725, -105.225, -1.160
-0.582, 0.227, -2.367, -52.002, -130.371, 11.414
-0.710, 0.772, -2.090, -54.688, -162.109, 8.057
-0.801, 0.812, -1.640, -47.119, -193.359, -8.423
-0.849, 0.516, -1.268, -29.724, -219.543, -26.978
-0.914, 0.037, -0.943, -16.541, -240.601, -41.260
-0.949, -0.483, -0.373, -11.536, -259.460, -46.326
-0.938, -0.831, 0.589, -10.132, -274.963, -41.687
-0.896, -0.766, 1.489, -8.667, -279.236, -26.855
-0.825, -0.465, 1.750, -10.254, -269.043, -10.681
-0.796, -0.142, 1.807, -16.907, -256.775, -1.709
-0.800, 0.231, 2.182, -28.687, -252.625, 3.784
-0.773, 0.588, 2.923, -36.865, -251.221, 5.432
-0.640, 0.546, 3.924, -35.400, -246.460, -0.366
-0.457, 0.434, 4.000, -22.766, -231.995, -3.418
-0.276, 0.380, 4.000, -10.742, -205.627, -2.625
-0.114, 0.502, 4.000, -3.967, -169.617, 0.977
-0.013, 0.685, 4.000, 1.648, -130.127, 3.601
0.049, 0.837, 4.000, 7.690, -93.811, 2.014
0.067, 0.889, 4.000, 1.953, -58.350, -2.136
0.034, 0.790, 4.000, -6.042, -16.296, -8.423
-0.024, 0.686, 4.000, -4.700, 38.025, -12.024
-0.112, 0.792, 4.000, 2.625, 100.037, -10.864
-0.266, 1.198, 4.000, 4.089, 158.752, -8.911
-0.435, 1.629, 4.000, 1.221, 205.627, -14.648
-0.568, 1.558, 3.243, -0.183, 233.337, -32.532
-0.635, 1.055, 2.366, 3.296, 243.713, -53.589
-0.673, 0.530, 1.876, 7.812, 243.835, -64.453
-0.727, 0.167, 1.681, 9.033, 241.150, -64.453
-0.801, -0.005, 1.586, 7.812, 240.417, -58.411
-0.894, 0.004, 1.472, 5.371, 242.920, -49.866
-0.996, 0.063, 1.227, -0.305, 248.718, -43.274
-1.067, -0.052, 0.889, -6.775, 255.371, -41.321
-1.112, -0.271, 0.505, -14.099, 260.986, -39.612
-1.130, -0.431, 0.143, -19.836, 263.550, -34.424
-1.141, 0.077, -0.329, -23.499, 264.038, -21.729
-1.201, 0.838, -0.833, -22.705, 260.376, -14.771
-1.186, 1.100, -1.484, -16.174, 251.831, -28.931
-1.104, 0.850, -2.071, -15.625, 236.267, -52.246
-0.988, 0.235, -2.536, -23.987, 213.135, -73.914
-0.858, -0.504, -2.938, -38.330, 185.913, -85.144
-0.733, -0.990, -3.237, -51.270, 154.541, -81.482
-0.618, -1.163, -3.358, -55.298, 119.080, -67.322
-0.542, -0.967, -3.229, -48.645, 80.444, -48.340
-0.505, -0.580, -2.864, -39.429, 42.969, -32.166
-0.519, -0.328, -2.318, -35.217, 11.230, -25.391
-0.494, -0.234, -1.835, -40.344, -10.437, -24.597
-0.478, -0.369, -1.564, -51.514, -24.231, -26.306
-0.501, -0.477, -1.552, -62.683, -33.569, -24.902
-0.459, -0.536, -1.891, -62.927, -43.091, -20.142
-0.440, -0.633, -2.244, -50.903, -59.509, -15.442
-0.431, -0.477, -2.568, -35.217, -83.435, -6.592
-0.486, 0.056, -2.770, -28.870, -112.915, 2.075
-0.567, 0.586, -2.897, -26.794, -147.278, 2.136
-0.695, 0.692, -2.731, -21.790, -186.523, -10.620
-0.857, 0.466, -1.885, -16.052, -228.699, -28.137
-0.957, 0.265, -0.427, -16.724, -263.672, -39.795
-0.953, -0.060, 1.036, -19.409, -278.931, -46.570
-0.808, -0.593, 1.972, -22.461, -270.447, -49.377
-0.644, -1.086, 2.051, -25.085, -246.216, -41.565
-0.518, -1.118, 1.536, -24.414, -221.497, -21.179
-0.459, -0.720, 1.093, -20.081, -210.999, 1.648
-0.437, -0.012, 1.286, -17.639, -215.515, 18.860
-0.419, 0.470, 1.995, -15.137, -223.816, 21.973
-0.360, 0.730, 2.907, -12.451, -224.426, 15.320
-0.251, 0.751, 3.734, -9.521, -212.341, 5.676
-0.115, 0.496, 4.000, -6.836, -187.012, -5.371
0.033, 0.078, 4.000, -4.883, -153.748, -12.268
0.177, -0.191, 3.619, -1.160, -122.620, -10.803
0.276, 0.009, 3.162, 7.324, -99.915, -1.160
0.314, 0.492, 3.125, 20.386, -87.524, 6.531
0.333, 0.793, 3.271, 30.884, -76.904, 2.502
0.343, 0.871, 3.172, 37.659, -60.608, -8.240
0.339, 0.646, 2.895, 44.189, -43.274, -22.400
0.327, 0.176, 2.580, 46.021, -28.992, -34.668
0.309, -0.183, 2.292, 41.687, -18.250, -37.903
0.289, -0.405, 1.947, 35.828, -10.132, -33.691
0.283, -0.489, 1.697, 31.433, -6.042, -25.940
0.271, -0.400, 1.678, 26.001, -5.737, -16.296
0.253, -0.215, 1.658, 21.179, -4.272, -7.935
0.244, -0.087, 1.587, 19.104, -1.343, -3.540
0.225, -0.054, 1.526, 17.212, 1.343, -2.136
0.210, -0.049, 1.462, 15.137, 4.150, -0.793

0.447, -0.333, 2.287, -21.240, -7.080, 31.250
0.472, 0.019, 2.709, -20.996, -5.188, 38.391
0.494, 0.287, 3.268, -17.944, -1.038, 39.429
0.506, 0.349, 3.778, -9.827, 8.911, 34.729
0.481, 0.391, 3.996, -5.432, 27.222, 30.151
0.409, 0.368, 3.901, -9.766, 50.415, 25.635
0.342, 0.107, 3.714, -19.226, 72.144, 19.226
0.266, -0.109, 3.645, -31.067, 89.844, 17.029
0.141, -0.166, 3.567, -40.100, 106.323, 20.569
0.029, -0.105, 3.424, -41.992, 123.718, 26.062
-0.086, 0.097, 3.157, -40.710, 141.174, 31.006
-0.216, 0.405, 2.716, -38.513, 157.959, 33.508
-0.350, 0.553, 2.180, -35.400, 171.326, 29.053
-0.440, 0.450, 1.720, -30.334, 178.589, 19.531
-0.519, 0.218, 1.450, -26.184, 180.969, 11.169
-0.589, 0.020, 1.221, -23.376, 182.556, 7.812
-0.648, -0.048, 1.018, -21.912, 184.753, 9.216
-0.710, 0.017, 0.733, -24.292, 188.110, 12.085
-0.763, 0.120, 0.432, -27.344, 190.613, 13.184
-0.823, 0.143, 0.189, -26.855, 190.613, 10.803
-0.862, 0.109, -0.030, -18.494, 188.965, 7.629
-0.884, 0.039, -0.220, -3.540, 185.852, 5.249
-0.941, 0.115, -0.487, 15.259, 182.678, 5.798
-0.945, 0.240, -0.906, 33.325, 179.199, 6.287
-0.900, 0.190, -1.416, 50.476, 171.997, 2.014
-0.852, 0.164, -1.915, 61.707, 159.363, -0.732
-0.791, 0.167, -2.312, 66.956, 141.357, -1.831
-0.710, 0.233, -2.657, 63.293, 119.141, -3.174
-0.659, 0.260, -2.952, 53.406, 93.567, -6.470
-0.619, 0.098, -3.063, 37.598, 63.721, -14.099
-0.615, -0.258, -2.879, 21.973, 31.006, -20.752
-0.621, -0.665, -2.557, 14.526, 0.610, -22.766
-0.633, -0.923, -2.305, 17.944, -24.475, -15.320
-0.630, -0.733, -2.315, 27.649, -44.739, -0.488
-0.660, -0.408, -2.485, 35.461, -64.209, 11.658
-0.671, -0.153, -2.691, 35.767, -87.158, 15.747
